TOTAL_TAGS,GS=12,GS=16,GS=24,GS=32,GS=4,GS=48,GS=64,GS=8
100,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0,0.0035000000000000005,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0,0.0036000000000000003,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0,0.001666666666666667,0.0,0.0,0.0
700,0.0,0.0,0.0,0.0,0.0025714285714285713,0.0,0.0,0.0
800,0.0,0.0,0.0,0.0,0.00425,0.0,0.0,0.0
900,0.0,0.0,0.0,0.0,0.005777777777777778,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0,0.0034000000000000002,0.0,0.0,0.0
