BIT_ERROR_RATE,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0
0.005,0.0,0.0,0.9,1.325,0.575,0.0,0.0
0.01,0.0,0.0,1.425,1.875,1.45,0.0,0.0
0.015,0.0,0.0,2.25,3.275,2.025,0.0,0.0
0.02,0.0,0.0,3.1,3.8,2.975,0.0,0.025
0.025,0.0,0.0,3.95,4.675,3.35,0.0,0.025
0.030000000000000002,0.0,0.0,4.825,6.775,4.15,0.0,0.0
0.035,0.0,0.0,4.45,7.175,4.55,0.05,0.075
0.04,0.0,0.0,5.6,7.725,5.2,0.0,0.025
0.045,0.0,0.0,6.05,8.95,6.3,0.0,0.025
0.049999999999999996,0.0,0.0,6.05,10.775,5.875,0.325,0.05
0.05499999999999999,0.0,0.0,6.575,10.9,6.775,0.1,0.175
0.05999999999999999,0.0,0.0,7.375,11.575,7.675,0.175,0.2
0.06499999999999999,0.0,0.0,9.0,13.0,8.325,0.25,0.25
0.06999999999999999,0.0,0.0,8.825,14.525,8.375,0.175,0.4
0.075,0.0,0.0,8.725,14.4,9.85,0.4,0.325
0.08,0.0,0.0,9.45,16.375,10.325,0.5,0.575
0.085,0.0,0.0,9.825,17.15,10.3,0.8,0.425
0.09000000000000001,0.0,0.0,10.625,17.975,10.575,0.725,0.525
0.09500000000000001,0.0,0.0,10.0,17.875,12.325,0.65,0.925
