GroupSize,RunID,Time(s),Throughput
4,0,3.16875,1577.9092702169623
4,1,3.16875,1577.9092702169623
8,0,2.3421875,2134.756504336224
8,1,2.3421875,2134.756504336224
12,0,2.3421875,2134.756504336224
12,1,2.3421875,2134.756504336224
16,0,1.4186675,3524.434019951821
16,1,1.4186675,3524.434019951821
24,0,1.41567,3531.896557813615
24,1,1.41567,3531.896557813615
32,0,1.41567,3531.896557813615
32,1,1.41567,3531.896557813615
48,0,1.41567,3531.896557813615
48,1,1.41567,3531.896557813615
64,0,1.41567,3531.896557813615
64,1,1.41567,3531.896557813615
