Drift_Rate,LODS-Fixed-128 (Stress),LODS-MTI (Adaptive)
0.0,5166.757084915653,6834.7314553667575
0.0005,5166.757084915653,6834.7314553667575
0.001,5166.757084915653,6834.7314553667575
0.0015,5166.757084915653,6834.7314553667575
0.002,5166.757084915653,6823.144104803493
0.0025,5166.757084915653,6823.144104803493
0.003,5166.757084915653,6823.144104803493
0.0035,5166.757084915653,6823.144104803493
0.004,5166.757084915653,5989.958712627081
0.0045000000000000005,5166.757084915653,5950.107397270095
0.005000000000000001,5166.757084915653,5933.930531628668
