Drift_Rate,CPT,CR-MTI,CTMTI,ECUMI,ISMTI,LODS-Fixed-128 (Stress),LODS-MTI (Adaptive)
0.0,1000,1000,1000,1000,1000,1000,1000
0.002,1000,1000,1000,1000,1000,1000,1000
0.004,1000,1000,1000,1000,1000,1000,1000
0.006,1000,1000,1000,1000,1000,1000,1000
0.008,1000,1000,1000,1000,1000,1000,1000
0.01,1000,1000,1000,1000,1000,1000,1000
0.012,1000,1000,1000,1000,1000,1000,1000
0.014,1000,1000,1000,1000,1000,1000,1000
0.016,1000,1000,1000,1000,1000,1000,1000
0.018,1000,1000,1000,1000,1000,1000,1000
0.02,1000,1000,1000,1000,1000,1000,1000
