K,Rho,Run_ID
64,4,0
32,4,0
32,4,0
32,4,0
32,4,0
32,4,0
32,4,0
32,4,0
32,4,0
32,4,0
32,4,0
32,4,0
32,4,0
32,4,0
32,4,0
32,4,0
32,4,0
32,4,0
32,4,0
32,4,0
32,4,0
32,4,0
32,4,0
32,4,0
32,4,0
32,4,0
32,4,0
104,2,0
64,4,2
32,4,2
32,4,2
32,4,2
32,4,2
32,4,2
32,4,2
32,4,2
32,4,2
32,4,2
32,4,2
32,4,2
32,4,2
32,4,2
32,4,2
32,4,2
32,4,2
32,4,2
32,4,2
32,4,2
32,4,2
32,4,2
32,4,2
32,4,2
32,4,2
32,4,2
32,4,2
32,4,2
32,4,2
40,2,2
64,4,1
32,4,1
32,4,1
32,4,1
32,4,1
32,4,1
32,4,1
32,4,1
32,4,1
32,4,1
32,4,1
32,4,1
32,4,1
32,4,1
32,4,1
32,4,1
32,4,1
32,4,1
32,4,1
32,4,1
32,4,1
32,4,1
32,4,1
32,4,1
32,4,1
32,4,1
32,4,1
32,4,1
32,4,1
32,4,1
8,4,1
64,4,3
32,4,3
32,4,3
32,4,3
32,4,3
32,4,3
32,4,3
32,4,3
32,4,3
32,4,3
32,4,3
32,4,3
32,4,3
32,4,3
32,4,3
32,4,3
32,4,3
32,4,3
32,4,3
32,4,3
32,4,3
32,4,3
32,4,3
32,4,3
32,4,3
32,4,3
32,4,3
32,4,3
32,4,3
32,4,3
8,4,3
64,4,4
32,4,4
32,4,4
32,4,4
32,4,4
32,4,4
32,4,4
32,4,4
32,4,4
32,4,4
32,4,4
32,4,4
32,4,4
32,4,4
32,4,4
32,4,4
32,4,4
32,4,4
32,4,4
32,4,4
32,4,4
32,4,4
32,4,4
32,4,4
32,4,4
32,4,4
32,4,4
32,4,4
32,4,4
32,4,4
8,4,4
