Tolerance_Threshold,LODS (eps=0.00),LODS (eps=0.05),LODS (eps=0.10),LODS (eps=0.15),LODS (eps=0.20),LODS (eps=0.25),LODS (eps=0.30),LODS (eps=0.35),LODS (eps=0.40),LODS (eps=0.45),LODS (eps=0.50),LODS (eps=0.55),LODS (eps=0.60)
0.0,5287.59802589525,,,,,,,,,,,,
0.05,,5296.063294477384,,,,,,,,,,,
0.1,,,5279.203745325336,,,,,,,,,,
0.15,,,,5279.1327573131175,,,,,,,,,
0.2,,,,,5279.393452589216,,,,,,,,
0.25,,,,,,5304.267867783419,,,,,,,
0.3,,,,,,,5279.393452589216,,,,,,
0.35,,,,,,,,5421.151714039637,,,,,
0.4,,,,,,,,,5368.125271305607,,,,
0.45,,,,,,,,,,5732.054184519208,,,
0.5,,,,,,,,,,,6274.367501491144,,
0.55,,,,,,,,,,,,7384.48265008958,
0.6,,,,,,,,,,,,,10316.552688571657
