TOTAL_TAGS,LODS-MTI (Arbitrary K),LODS-MTI (Power-of-2)
100,158.2,179.67499999999995
150,158.2833333333333,186.11666666666665
200,158.3875,158.3875
250,146.56,177.933
300,148.49999999999997,165.41666666666666
350,149.92142857142858,169.99142857142857
400,150.9875,150.9875
450,149.89666666666668,149.89666666666668
500,146.56,156.55299999999997
550,147.61818181818182,155.06363636363636
600,148.52083333333334,153.35208333333333
650,149.2846153846154,152.45384615384611
700,145.7285714285714,157.0828571428571
750,146.55999999999997,156.0513333333333
800,147.303125,147.303125
850,147.94411764705882,150.41
900,147.5233333333333,147.5233333333333
950,145.94736842105263,153.46526315789475
1000,146.56,149.52
